time_res,mem_res,num_th,exa_th,time,batch_size
2,100000,644.2455125055852,2403.846153125,34.518,3
3,100000,966.3682687583779,2403.846153125,36.163,3
4,100000,1288.4910250111704,2403.846153125,35.759,3
5,100000,1610.6137812639631,2403.846153125,36.143,3
6,100000,1932.7365375167558,2403.846153125,36.149,3
7,100000,2254.859293769548,2403.846153125,36.258,3
8,100000,1288.4910250111704,2403.846153125,25.99,3
9,100000,1449.5524031375667,2403.846153125,26.273,3
10,100000,1610.6137812639631,2403.846153125,26.221,3
11,100000,1771.6751593903593,2403.846153125,26.399,3
12,100000,1932.7365375167558,2403.846153125,26.141,3
13,100000,2093.797915643152,2403.846153125,26.323,3
14,100000,2254.859293769548,2403.846153125,26.44,3
15,100000,1610.613781263963,2403.846153125,26.586,3
16,100000,1717.9880333482272,2403.846153125,26.495,3
18,100000,1932.7365375167553,2403.846153125,26.299,3
20,100000,2147.485041685284,2403.846153125,27.081,3
22,100000,2362.2335458538123,2403.846153125,27.024,3
24,100000,1932.7365375167558,2403.846153125,27.055,3
26,100000,2093.797915643152,2403.846153125,27.139,3
28,100000,2254.859293769548,2403.846153125,26.966,3
30,100000,1932.7365375167553,2403.846153125,26.175,3
32,100000,2061.5856400178727,2403.846153125,29.579,3
36,100000,2319.283845020107,2403.846153125,30.09,3
40,100000,2147.485041685284,2403.846153125,29.953,3
44,100000,2362.2335458538123,2403.846153125,29.695,3
48,100000,2208.8417571620066,2403.846153125,26.055,3
52,100000,2392.9119035921735,2403.846153125,26.487,3
56,100000,2254.859293769548,2403.846153125,26.576,3
60,100000,2147.485041685284,2403.846153125,26.328,3
64,100000,2290.6507111309697,2403.846153125,28.013,3
72,100000,2319.283845020107,2403.846153125,25.586,3
80,100000,2342.7109545657645,2403.846153125,25.68,3
88,100000,2362.2335458538123,2403.846153125,26.074,3
96,100000,2378.752661559084,2403.846153125,25.911,3
104,100000,2392.9119035921735,2403.846153125,25.764,3
112,100000,2254.859293769548,2403.846153125,25.459,3
120,100000,2273.807691196183,2403.846153125,26.001,3
128,100000,2290.6507111309697,2403.846153125,25.718,3
144,100000,2319.283845020107,2403.846153125,25.825,3
160,100000,2342.7109545657645,2403.846153125,25.686,3
176,100000,2362.2335458538123,2403.846153125,25.909,3
192,100000,2378.752661559084,2403.846153125,26.009,3
208,100000,2392.9119035921735,2403.846153125,26.076,3
224,100000,2327.5966903427593,2403.846153125,26.117,3
240,100000,2342.7109545657645,2403.846153125,25.922,3
256,100000,2356.0978743061405,2403.846153125,25.641,3
260,100000,2392.911903592174,2403.846153125,25.593,3
264,100000,2362.2335458538123,2403.846153125,25.836,3
268,100000,2398.024963215234,2403.846153125,25.686,3
272,100000,2368.037559479989,2403.846153125,25.625,3
276,100000,2402.8616412370475,2403.846153125,25.493,3
280,100000,2373.536098704788,2403.846153125,25.487,3
284,100000,2345.714430148541,2403.846153125,25.744,3
288,100000,2378.7526615590837,2403.846153125,25.638,3
292,100000,2351.496120645386,2403.846153125,25.433,3
296,100000,2383.708396270665,2403.846153125,25.472,3
300,100000,2356.995777459458,2403.846153125,25.946,3
304,100000,2388.4223878255843,2403.846153125,25.649,3
308,100000,2362.2335458538123,2403.846153125,25.676,3
312,100000,2392.9119035921735,2403.846153125,25.488,3
316,100000,2367.227697113546,2403.846153125,25.299,3
320,100000,2397.192604671945,2403.846153125,25.78,3
324,100000,2371.9948414978367,2403.846153125,25.935,3
328,100000,2401.2787284299084,2403.846153125,25.742,3
332,100000,2376.5501127983807,2403.846153125,25.537,3
336,100000,2352.8966543682245,2403.846153125,25.369,3
340,100000,2380.907328824989,2403.846153125,25.751,3
344,100000,2357.664428743844,2403.846153125,25.857,3
348,100000,2385.079131403656,2403.846153125,25.783,3
352,100000,2362.2335458538123,2403.846153125,25.565,3
356,100000,2389.0771088748784,2403.846153125,25.486,3
360,100000,2366.616168387864,2403.846153125,25.938,3
364,100000,2392.9119035921735,2403.846153125,25.665,3
368,100000,2370.823486020554,2403.846153125,25.611,3
372,100000,2396.593306520777,2403.846153125,25.777,3
376,100000,2374.8658108049026,2403.846153125,25.596,3
380,100000,2400.1303407070823,2403.846153125,25.654,3
384,100000,2378.752661559084,2403.846153125,25.582,3
388,100000,2403.531335116991,2403.846153125,25.691,3
392,100000,2382.4928386999,2403.846153125,25.579,3
396,100000,2362.2335458538123,2403.846153125,25.548,3
400,100000,2386.0944907614266,2403.846153125,25.868,3
404,100000,2366.138064111422,2403.846153125,25.795,3
408,100000,2389.56517365708,2403.846153125,25.622,3
412,100000,2369.9031352884026,2403.846153125,25.658,3
